College Name,NIRF Rank,Rating,Ownership,Fees,Admission Link,Placement Link,Courses Link,Facilities Link
IIT Madras (IITM) - Indian Institute of Technology Madras,1,4.7/5,Public/Government,"Fees :  ₹30.45 K, Fees :  ₹8.58 Lakhs",https://www.careers360.com/university/indian-institute-of-technology-madras/admission,https://www.careers360.com/university/indian-institute-of-technology-madras/placement,https://www.careers360.com/university/indian-institute-of-technology-madras/courses,https://www.careers360.com/university/indian-institute-of-technology-madras/facilities
IIT Delhi - Indian Institute of Technology Delhi,2,4.6/5,Public/Government,"Fees :  ₹1.02 Lakhs, Fees :  ₹8.58 Lakhs",https://www.careers360.com/university/indian-institute-of-technology-delhi/admission,https://www.careers360.com/university/indian-institute-of-technology-delhi/placement,https://www.careers360.com/university/indian-institute-of-technology-delhi/courses,https://www.careers360.com/university/indian-institute-of-technology-delhi/facilities
IIT Bombay - Indian Institute of Technology Bombay,3,4.6/5,Public/Government,Fees :  ₹80.40 K  - ₹1.11 Lakhs,https://www.careers360.com/university/indian-institute-of-technology-bombay/admission,https://www.careers360.com/university/indian-institute-of-technology-bombay/placement,https://www.careers360.com/university/indian-institute-of-technology-bombay/courses,https://www.careers360.com/university/indian-institute-of-technology-bombay/facilities
IIT Kanpur - Indian Institute of Technology Kanpur,4,4.4/5,Public/Government,Fees :  ₹37.93 K  - ₹1.08 Lakhs,https://www.careers360.com/university/indian-institute-of-technology-kanpur/admission,https://www.careers360.com/university/indian-institute-of-technology-kanpur/placement,https://www.careers360.com/university/indian-institute-of-technology-kanpur/courses,https://www.careers360.com/university/indian-institute-of-technology-kanpur/facilities
IIT Kharagpur - Indian Institute of Technology Kharagpur,5,4.7/5,Public/Government,Fees :  ₹45.85 K,https://www.careers360.com/university/indian-institute-of-technology-kharagpur/admission,https://www.careers360.com/university/indian-institute-of-technology-kharagpur/placement,https://www.careers360.com/university/indian-institute-of-technology-kharagpur/courses,https://www.careers360.com/university/indian-institute-of-technology-kharagpur/facilities
IIT Roorkee - Indian Institute of Technology Roorkee,6,4.4/5,Public/Government,Fees :  ₹42 K  - ₹68.20 K,https://www.careers360.com/university/indian-institute-of-technology-roorkee/admission,https://www.careers360.com/university/indian-institute-of-technology-roorkee/placement,https://www.careers360.com/university/indian-institute-of-technology-roorkee/courses,https://www.careers360.com/university/indian-institute-of-technology-roorkee/facilities
IIT Guwahati (IITG) - Indian Institute of Technology Guwahati,7,4.3/5,Public/Government,"Fees :  ₹53.15 K, Fees :  ₹8.54 Lakhs",https://www.careers360.com/university/indian-institute-of-technology-guwahati/admission,https://www.careers360.com/university/indian-institute-of-technology-guwahati/placement,https://www.careers360.com/university/indian-institute-of-technology-guwahati/courses,https://www.careers360.com/university/indian-institute-of-technology-guwahati/facilities
IIT Hyderabad - Indian Institute of Technology Hyderabad,8,4.6/5,Public/Government,"Fees :  ₹78 K  - ₹1.37 Lakhs, Fees :  ₹9.08 Lakhs",https://www.careers360.com/university/indian-institute-of-technology-hyderabad/admission,https://www.careers360.com/university/indian-institute-of-technology-hyderabad/placement,https://www.careers360.com/university/indian-institute-of-technology-hyderabad/courses,https://www.careers360.com/university/indian-institute-of-technology-hyderabad/facilities
NIT Trichy - National Institute of Technology Tiruchirappalli,9,4.4/5,Public/Government,Fees :  ₹1.78 Lakhs  - ₹2.18 Lakhs,https://www.careers360.com/university/national-institute-of-technology-tiruchirappalli/admission,https://www.careers360.com/university/national-institute-of-technology-tiruchirappalli/placement,https://www.careers360.com/university/national-institute-of-technology-tiruchirappalli/courses,https://www.careers360.com/university/national-institute-of-technology-tiruchirappalli/facilities
IIT BHU - Indian Institute of Technology Banaras Hindu University Varanasi,10,4.6/5,Public/Government,Fees :  ₹55.38 K  - ₹4.86 Lakhs,https://www.careers360.com/university/indian-institute-of-technology-banaras-hindu-university-varanasi/admission,https://www.careers360.com/university/indian-institute-of-technology-banaras-hindu-university-varanasi/placement,https://www.careers360.com/university/indian-institute-of-technology-banaras-hindu-university-varanasi/courses,https://www.careers360.com/university/indian-institute-of-technology-banaras-hindu-university-varanasi/facilities
