Job Title,Company Name,Rating,Experience,Location,Minimum Requirements,Tech Stack,Job description
Urgent requirment with Pragmatic MNC For Software Developer,MNC Solftware Company,None,08 Feb - 17 Feb,Pune,Pragmatic hiring for its client. Excellent in coding & programming. Throughout 60% in a...,,"Pragmatic hiring for its client. Excellent in coding & programming. Throughout 60% in academics. YOP-2023,24 passout. Please do complete research about Pragmtic before calling us. If eligible & interested call us on 8554955784/9579778154"
Opening For Software Developer Fresher @ Paud Pune,SQUAD Infotech Private Ltd,None,0 Yrs,Pune,Exp :- Fresher (Trained or certified)Roles & Responsibilities for Software Developer Fr...,,"Profile :-  Software developer Location :-Pune Skill :-  .Net,Java,Php,Android, Any technology Exp :- Fresher (Trained or certified) Qualification :-  Any IT/CS (NO ENTC strictly) Gender :- Any Position :- 6 Salary :- Good package,but as per the candidates performance. Bond :- No,Maybe Roles & Responsibilities for Software Developer Fresher Integration of user-facing elements developed by front-end developers Build efficient, testable, and reusable PHP modules Solve complex performance problems and architectural challenges Integration of data storage solutions Strong knowledge of the common PHP or web server exploits and their solutions Understanding fundamental design principles behind a scalable application Creating database scheme that represent and support business processes Interview round     :- 1.PI Round 2.Technical Test 3.HR Round"
Software Developer : Btech / MCA / MTech / BSc  Freshers only,Milestone Online Technology,None,0-1 Yrs,"Hybrid - Kolkata, Pune, Delhi / NCR","Need software developers for Java, Python, Android, MEAN Stack and Front end developmen...",,"Need software developers for Java, Python, Android, MEAN Stack and Front end development. BTech (CS/IT/EC/EE), MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should have passion for software development."
Software Developer,Apconic Software,4.5,0-2 Yrs,"Indore, Pune","Passout Year - 2022, 23, 24 . Good Knowledge of Data Structure and Algorithms. Clear co...",,"Job Description for Software Developer Designation: -   Software Developer No. of Position: - 02 Location: -   Indore / Pune Qualification: -   BE (CS, IT, CE) Passout Year - 2022,23,24 Ideal profile of the candidate would be: Good Knowledge of Data Structure and Algorithms. Clear concept of Operating System, Linux and Windows. Knowledge of GIT. Experience with one of these JAVA/C++/Java script/Python. Excellent in oral as well as written communication skills. www.apconic.com"
Software Developer,KSB,3.9,0-4 Yrs,Pune,KSB Pumps Limited is looking for Software Developer to join our dynamic team and embark...,,"KSB Pumps Limited  is looking for Software Developer  to join our dynamic team and embark on a rewarding career journey. Modifying software to fix errors, adapt it to new hardware, improve its performance, or upgrade interfaces. Directing system testing and validation procedures. Directing software programming and documentation development. Consulting with departments or customers on project status and proposals. Working with customers or departments on technical issues including software system design and maintenance. Analyzing information to recommend and plan the installation of new systems or modifications of an existing system. Consulting with engineering staff to evaluate software hardware interfaces and develop specifications and performance requirements. Designing and developing software systems using scientific analysis and mathematical models to predict and measure outcomes and design consequences. Preparing reports on programming project specifications, activities, or status. Conferring with project managers to obtain information on limitations or capabilities"
Software Developer/Engineer ASP.Net Core(MVC,Anvitechsys,4.7,0-1 Yrs,Pune,AnviTechSys is looking for Software Developer/Engineer ASP.Net Core(MVC to join our dyn...,,"AnviTechSys is looking for Software Developer/Engineer ASP.Net Core(MVC to join our dynamic team and embark on a rewarding career journey Modifying software to fix errors, adapt it to new hardware, improve its performance, or upgrade interfaces. Directing system testing and validation procedures. Directing software programming and documentation development. Consulting with departments or customers on project status and proposals. Working with customers or departments on technical issues including software system design and maintenance. Analyzing information to recommend and plan the installation of new systems or modifications of an existing system. Consulting with engineering staff to evaluate software hardware interfaces and develop specifications and performance requirements. Designing and developing software systems using scientific analysis and mathematical models to predict and measure outcomes and design consequences. Preparing reports on programming project specifications, activities, or status. Conferring with project managers to obtain information on limitations or capabilities"
SOFTWARE DEVELOPER/ENGINEER[.NET],Myospaz Software Technologies,4.4,0-3 Yrs,Pune,    Knowledge of Asp.net and VB.Net with C#.net using AJAX and MVC and SQL.   Strong Kn...,,"Knowledge of Asp.net and VB.Net with C#.net using AJAX and MVC and SQL. Strong Knowledge of OOPS Concepts, Bootstrap, Javascript, jQuery."
Software Developer,Webrelier Software Solutions,4.3,0-1 Yrs,Pune,Freshers also can apply Preferred - Good communication skills.  0-1 yrs experience on r...,,"Responsibilities: Understand customer requirements and translate them into state of the art solution. Work closely with SW Engineers to design, develop enterprise web applications. Be flexible and adaptive to project dynamics and be self-learner and self-driver of assigned tasks. Strong written and verbal communication skills. You will be working with Mentors initially who will train you on latest technologies 0-1 yrs experience on related technology. Freshers also can apply Candidate Profile: Good analytical skills and Logic Building skills. Solid object Oriented concepts. hard-working (no-give up) attitude towards learning new technologies. Preferred - Good communication skills."
Software Developer Trainee/Intern,Microcosmworks Llp,3.8,0-2 Yrs,New Delhi,Job OverviewWe are seeking a passionate and motivated Full-Stack Developer with 0-2 yea...,,"Job Overview We are seeking a passionate and motivated Full-Stack Developer with 0-2 years of experience. As a part of our team, you will be responsible for developing, testing, and deploying web and mobile applications. You will work closely with our senior developers to design, develop, and implement projects, and bring innovative solutions to enhance our products. Key Responsibilities Develop, test, and maintain scalable web and mobile applications. Work with front-end technologies like ReactJs, Flutter, React Native, NextJs Develop backend logic and database structures using Node.js or Python or Laravel Design, implement, and optimize MongoDB/MySQL databases. Collaborate with cross-functional teams to ensure high-quality product delivery. Troubleshoot, debug, and upgrade existing applications. Document development processes, code changes, and project updates. Participate in code reviews and contribute to improving development standards. Skills and Qualifications Required Skills : Proficiency in JavaScript , Python.or Php Knowledge of HTML/CSS for responsive UI development. Familiarity with MongoDB or MySQL databases. Experience or familiarity with React Native or Flutter for mobile development. Must be quick learner with a proactive, self-driven approach to tasks. Must demonstrate problem-solving skills and a commitment to continuous learning. Effective communicator with a team-oriented mindset. Preferred Skills : Understanding of Node.js/Python/Php and backend development. Experience with frontend frameworks like React and React Native. Basic knowledge of RESTful APIs and how to integrate them into applications. Ability to work in an Agile environment. Candidate Profile Degree in Computer Science, Information Technology, or a related field, or equivalent practical experience. Demonstrated interest in full-stack development through projects, internships, or course work. Strong problem-solving skills and eagerness to learn new technologies. Effective communication skills and ability to work collaboratively in a team environment"
Software Developer 5,Oracle,3.7,0-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",  Oracle Health Applications & Infrastructure (OHAI) is hiring in its OHAI Platform & P...,,"Oracle Health Applications & Infrastructure (OHAI) is hiring in its OHAI Platform & Production Engineering organization! Building off our Cloud momentum, Oracle has formed a new organization - Oracle Health Applications & Infrastructure. This team focuses on product development and product strategy for Oracle Health, while building out a complete platform supporting modernized, automated healthcare. This is a net new line of business, constructed with an entrepreneurial spirit that promotes an energetic and creative environment. We are unencumbered and will need your contribution to make it a world class engineering center with the focus on excellence. At Oracle Health, our mission is to improve healthcare and quality of life globally through better experience and easier access to health and research data for patients and healthcare providers. At Oracle Health, our mission is to improve healthcare and quality of life globally through better experience and easier access to health and research data for patients and healthcare providers. We are looking for hands-on engineers with expertise and passion in solving difficult problems in all areas of software engineering: distributed systems, identity, security, observability, and user experience. This is a greenfield opportunity to design and build new cloud centric applications from the ground up. We are growing fast, still at an early stage, and working on ambitious new initiatives. An engineer at any level can have significant technical and business impact here. You will be part of a team of smart, motivated, diverse people, and given the autonomy as well as support to do your best work. It is a dynamic and flexible workplace where you ll belong and be encouraged. Career Level - IC5 As a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. Define specifications for significant new projects and specify, design and develop software according to those specifications. You will perform professional software development tasks associated with the developing, designing and debugging of software applications or operating systems. What Youll Do Architect scalable infrastructure, including microservices and backend, that automates set up of infrastructure, deployment, patching, and upgrade of software Architect scalable infrastructure to deploy customized Oracle Health Services Brainstorm and Design various POCs using ML and DL solutions for new or existing enterprise problems. Work with fellow SW engineers to build out the infrastructure, effectively communicating your needs and understanding theirs and address external and internal shareholders product challenges. Designing and building Control Plane and Data Plane services Leverage Cloud technology Come up with innovative ways/new features to migrate existing Oracle Health product to latest technologies Build and own automated deployment of upcoming AI enabled Oracle Health Services. Qualifications Bachelors or masters degree in computer science 12+ years of Experience in designing, implementing and deploying cloud scale products in production environments. Significant achievement in terms of building cloud scale product and deployment. Practical experience in design, implementation and production deployment of distributed systems using microservices architecture and APIs using common frameworks like Spring Boot (Java) , akka-http (Scala), etc. Working knowledge of latest technologies such as Practical experience in Big Data technologies - Spark, Spark streaming, Hadoop, Object Storage (OCI Object Storage or S3 or Equivalent), Kafka Practical experience working in a cloud environment: Oracle Cloud (OCI), AWS, GCP, Azure, Heroku or similar technology. Expert in at least one high level language such as Java/C/C++ (Java preferred) Experience in deployment of apps using Containers, Kubernetes, Helm, and Terraform Expert in at least one scripting language such as Python, JavaScript, Shell (Python and JavaScript preferred) Experience in using or managing Observability/Telemetry products - ELK, Grafana, Prometheus and etc. Experience or willingness to learn and work in Agile and iterative development and DevOps processes. Experience in complete lifecycle of AI feature/product development - Conceptualize idea, design cloud scale scalable solution, implement, take it to production, help customer go-live, take care of customer issues and stabilize the feature Very good at influencing and selling your ideas & views convincingly to all - developers, managers, PMs, and Executives Strong drive to learn and master new technologies and techniques. Deep understanding of data structures, algorithms, and excellent problem-solving skills. You enjoy a fast-paced work environment"
